key_0,business_code,cust_number,name_customer,business_year,doc_id,posting_date,document_create_date,document_create_date.1,due_in_date,invoice_currency,document type,posting_id,total_open_amount,baseline_create_date,cust_payment_terms,invoice_id,isOpen,Day_due,Delay_predict,Payment_date_predict,Aging_bucket
4626,U001,0200726979,BJ'S  trust,2020.0,1930572455.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,535.45,2020-02-27,NAA8,1930572455.0,1,13,1,2020-03-14,Bucket2
48022,U001,0200920735,ALBERT corporation,2020.0,1930576159.0,2020-02-27,2020-02-27,2020-02-27,2020-03-13,USD,RV,1.0,114240.64,2020-02-27,NAA8,1930576159.0,1,13,3,2020-03-16,Bucket2
14897,U001,200759878,SA corp,2020.0,1930577307.0,2020-02-27,2020-02-27,2020-02-27,2020-04-12,USD,RV,1.0,95272.97,2020-02-27,NAWP,1930577307.0,1,12,2,2020-04-14,Bucket2
1722,U001,0200769623,WAL-MAR trust,2020.0,1930576187.0,2020-02-27,2020-02-27,2020-02-27,2020-03-13,USD,RV,1.0,271.06,2020-02-27,NAH4,1930576187.0,1,13,1,2020-03-14,Bucket2
39223,U001,0200705742,DOT associates,2020.0,1930570147.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,13154.17,2020-02-27,NAA8,1930570147.0,1,13,1,2020-03-14,Bucket2
40275,U001,0200707822,PUBLI corporation,2020.0,1930578971.0,2020-02-27,2020-02-27,2020-02-27,2020-03-13,USD,RV,1.0,87259.61,2020-02-27,NAA8,1930578971.0,1,13,2,2020-03-15,Bucket2
29332,U001,0200705742,DOT llc,2020.0,1930571260.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,21926.82,2020-02-27,NAA8,1930571260.0,1,13,2,2020-03-15,Bucket2
37400,CA02,0140104429,COSTCO llc,2020.0,2960616534.0,2020-02-27,2020-02-27,2020-02-27,2020-03-09,CAD,RV,1.0,1649.57,2020-02-28,CA10,2960616534.0,1,9,18,2020-03-27,Bucket3
14992,U001,0200772595,SAFEW trust,2020.0,1930576722.0,2020-02-27,2020-02-27,2020-02-27,2020-03-13,USD,RV,1.0,62417.94,2020-02-27,NAA8,1930576722.0,1,13,2,2020-03-15,Bucket2
48173,CA02,0140104249,SOB llc,2020.0,2960616656.0,2020-02-27,2020-02-27,2020-02-27,2020-03-08,CAD,RV,1.0,2370.92,2020-02-27,CA10,2960616656.0,1,8,8,2020-03-16,Bucket2
34706,U001,CCCA02,KRAFT  corporation,2020.0,1930575236.0,2020-02-27,2020-02-26,2020-02-27,2020-04-02,USD,RV,1.0,13866.54,2020-02-27,NAG2,1930575236.0,1,2,14,2020-04-16,Bucket3
25669,U001,0200769623,WAL-MAR corporation,2020.0,1930572456.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,1322.22,2020-02-27,NAH4,1930572456.0,1,13,1,2020-03-14,Bucket2
12604,U001,0200762301,C&S WH associates,2020.0,1930570198.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,100672.43,2020-02-27,NAC6,1930570198.0,1,13,2,2020-03-15,Bucket2
45707,U001,0200793568,SUPE systems,2020.0,1930571560.0,2020-02-27,2020-02-26,2020-02-27,2020-05-02,USD,RV,1.0,37427.51,2020-02-27,NAGD,1930571560.0,1,2,8,2020-05-10,Bucket2
18587,U001,0200223640,US FOO corporation,2020.0,1930561396.0,2020-02-27,2020-02-24,2020-02-27,2020-03-13,USD,RV,1.0,476.69,2020-02-27,NAA8,1930561396.0,1,13,1,2020-03-14,Bucket2
6067,U001,0200729942,SA associates,2020.0,1930572628.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,21544.32,2020-02-27,NAA8,1930572628.0,1,13,2,2020-03-15,Bucket2
36528,U001,0200762301,C&S WH corp,2020.0,1930579060.0,2020-02-27,2020-02-27,2020-02-27,2020-03-13,USD,RV,1.0,66206.75,2020-02-27,NAC6,1930579060.0,1,13,2,2020-03-15,Bucket2
21746,U001,0200705742,DOT llc,2020.0,1930571853.0,2020-02-27,2020-02-26,2020-02-27,2020-04-01,USD,RV,1.0,85289.07,2020-02-27,NAAW,1930571853.0,1,1,4,2020-04-05,Bucket2
10258,U001,0200956366,RICH trust,2020.0,1930568672.0,2020-02-27,2020-02-25,2020-02-27,2020-03-13,USD,RV,1.0,41116.68,2020-02-27,NAA8,1930568672.0,1,13,1,2020-03-14,Bucket2
9217,U001,0200759878,SA corp,2020.0,1930575533.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,29965.66,2020-02-27,NAH4,1930575533.0,1,13,2,2020-03-15,Bucket2
33267,U001,0200915438,GROC co,2020.0,1930548446.0,2020-02-27,2020-02-20,2020-02-27,2020-03-13,USD,RV,1.0,18412.0,2020-02-27,NAA8,1930548446.0,1,13,2,2020-03-15,Bucket2
24222,U001,0200789077,US  us,2020.0,1930562418.0,2020-02-27,2020-02-24,2020-02-27,2020-03-30,USD,RV,1.0,14003.18,2020-02-27,NA32,1930562418.0,1,30,-18,2020-03-12,Bucket1
28479,U001,0200769623,WAL-MAR systems,2020.0,1930576830.0,2020-02-27,2020-02-27,2020-02-27,2020-03-13,USD,RV,1.0,50409.27,2020-02-27,NAH4,1930576830.0,1,13,1,2020-03-14,Bucket2
6865,U001,CCCA02,KRAFT  corporation,2020.0,1930575468.0,2020-02-27,2020-02-26,2020-02-27,2020-04-02,USD,RV,1.0,13948.2,2020-02-27,NAG2,1930575468.0,1,2,14,2020-04-16,Bucket3
4100,CA02,0140105847,GORDON F foundation,2020.0,2960616887.0,2020-02-27,2020-02-27,2020-02-27,2020-03-16,CAD,RV,1.0,3336.0,2020-03-06,CA10,2960616887.0,1,16,10,2020-03-26,Bucket3
23982,U001,0200974851,RESTA ,2020.0,1930580231.0,2020-02-27,2020-02-27,2020-02-27,2020-03-18,USD,RV,1.0,223.03,2020-02-27,NAD1,1930580231.0,1,18,-1,2020-03-17,Bucket1
37178,U001,0200707822,PUBLI in,2020.0,1930570385.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,72065.86,2020-02-27,NAA8,1930570385.0,1,13,2,2020-03-15,Bucket2
38097,U001,0200782001,GORDO ,2020.0,1930534354.0,2020-02-27,2020-02-17,2020-02-27,2020-03-30,USD,RV,1.0,21240.06,2020-02-27,NA32,1930534354.0,1,30,-19,2020-03-11,Bucket1
40146,CA02,0140104409,LOB ,2020.0,2960614251.0,2020-02-27,2020-02-27,2020-02-27,2020-03-09,CAD,RV,1.0,77466.75,2020-02-28,CA10,2960614251.0,1,9,9,2020-03-18,Bucket2
42924,CA02,0140105847,GORDON F llc,2020.0,2960617054.0,2020-02-27,2020-02-27,2020-02-27,2020-03-09,CAD,RV,1.0,834.0,2020-02-28,CA10,2960617054.0,1,9,16,2020-03-25,Bucket3
5397,U001,0200761734,H E BUT corp,2020.0,1930576021.0,2020-02-27,2020-02-27,2020-02-27,2020-03-13,USD,RV,1.0,79443.75,2020-02-27,NAA8,1930576021.0,1,13,3,2020-03-16,Bucket2
49300,CA02,0140104440,SO co,2020.0,2960616663.0,2020-02-27,2020-02-27,2020-02-27,2020-03-08,CAD,RV,1.0,85570.58,2020-02-27,CA10,2960616663.0,1,8,0,2020-03-08,Bucket2
19681,U001,0200515231,US  ,2020.0,1930577976.0,2020-02-27,2020-02-27,2020-02-27,2020-03-13,USD,RV,1.0,38812.08,2020-02-27,NAA8,1930577976.0,1,13,2,2020-03-15,Bucket2
19981,CA02,0140104429,COSTCO trust,2020.0,2960617058.0,2020-02-27,2020-02-27,2020-02-27,2020-03-09,CAD,RV,1.0,29155.67,2020-02-28,CA10,2960617058.0,1,9,10,2020-03-19,Bucket3
30160,U001,0200886415,COSTCO in,2020.0,1930565961.0,2020-02-27,2020-02-25,2020-02-27,2020-03-13,USD,RV,1.0,20583.36,2020-02-27,NAA8,1930565961.0,1,13,2,2020-03-15,Bucket2
4486,U001,0200769623,WAL-MAR foundation,2020.0,1930573664.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,60884.74,2020-02-27,NAH4,1930573664.0,1,13,2,2020-03-15,Bucket2
6649,U001,0200769623,WAL-MAR corp,2020.0,1930571123.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,19.96,2020-02-27,NAH4,1930571123.0,1,13,0,2020-03-13,Bucket2
6242,U001,0200707822,PUBLI foundation,2020.0,1930577252.0,2020-02-27,2020-02-27,2020-02-27,2020-03-13,USD,RV,1.0,1110.44,2020-02-27,NAA8,1930577252.0,1,13,1,2020-03-14,Bucket2
34950,U001,0200794332,COST trust,2020.0,1930566818.0,2020-02-27,2020-02-25,2020-02-27,2020-03-13,USD,RV,1.0,722.42,2020-02-27,NAAX,1930566818.0,1,13,2,2020-03-15,Bucket2
30192,U001,0100043921,NASS llc,2020.0,1930576707.0,2020-02-27,2020-02-27,2020-02-27,2020-05-02,USD,RV,1.0,242.07,2020-02-27,NAGD,1930576707.0,1,2,11,2020-05-13,Bucket3
13381,U001,0200714710,SYSCO  trust,2020.0,1930576728.0,2020-02-27,2020-02-27,2020-02-27,2020-03-13,USD,RV,1.0,7778.25,2020-02-27,NAA8,1930576728.0,1,13,1,2020-03-14,Bucket2
23970,U013,0100055606,ALVARE trust,2020.0,1991839851.0,2020-02-27,2020-02-25,2020-02-27,2020-03-28,USD,RV,1.0,41319.18,2020-02-27,NAVE,1991839851.0,1,28,-16,2020-03-12,Bucket1
27642,U001,0200726979,BJ'S  llc,2020.0,1930577353.0,2020-02-27,2020-02-27,2020-02-27,2020-03-13,USD,RV,1.0,502.08,2020-02-27,NAA8,1930577353.0,1,13,1,2020-03-14,Bucket2
44847,U001,0200434439,BAUGH SU corp,2020.0,1930577206.0,2020-02-27,2020-02-27,2020-02-27,2020-03-18,USD,RV,1.0,90684.31,2020-02-27,NAD1,1930577206.0,1,18,0,2020-03-18,Bucket2
13362,U001,0200974851,RESTA in,2020.0,1930578789.0,2020-02-27,2020-02-27,2020-02-27,2020-03-13,USD,RV,1.0,174.72,2020-02-27,NAA8,1930578789.0,1,13,1,2020-03-14,Bucket2
37229,U001,0200769623,WAL-MAR co,2020.0,1930575712.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,1164.87,2020-02-27,NAH4,1930575712.0,1,13,1,2020-03-14,Bucket2
42238,U001,0200865666,RESTAU associates,2020.0,1930577926.0,2020-02-27,2020-02-27,2020-02-27,2020-03-18,USD,RV,1.0,963.07,2020-02-27,NAD1,1930577926.0,1,18,0,2020-03-18,Bucket2
7374,U001,0200974851,RESTA systems,2020.0,1930577590.0,2020-02-27,2020-02-27,2020-02-27,2020-03-18,USD,RV,1.0,332.58,2020-02-27,NAD1,1930577590.0,1,18,-1,2020-03-17,Bucket1
1624,U001,0200705742,DOT corp,2020.0,1930576846.0,2020-02-27,2020-02-27,2020-02-27,2020-04-01,USD,RV,1.0,1830.77,2020-02-27,NAAW,1930576846.0,1,1,13,2020-04-14,Bucket3
8705,CA02,0140104409,LOB in,2020.0,2960617545.0,2020-02-27,2020-02-27,2020-02-27,2020-03-13,CAD,RV,1.0,72779.83,2020-03-03,CA10,2960617545.0,1,13,3,2020-03-16,Bucket2
30248,U001,0200726979,BJ'S  in,2020.0,1930577253.0,2020-02-27,2020-02-27,2020-02-27,2020-03-13,USD,RV,1.0,616.57,2020-02-27,NAA8,1930577253.0,1,13,0,2020-03-13,Bucket2
6213,U001,0200769623,WAL-MAR foundation,2020.0,1930576897.0,2020-02-27,2020-02-27,2020-02-27,2020-03-13,USD,RV,1.0,32798.95,2020-02-27,NAH4,1930576897.0,1,13,4,2020-03-17,Bucket2
33457,CA02,0140104440,SO trust,2020.0,2960616655.0,2020-02-27,2020-02-27,2020-02-27,2020-03-17,CAD,RV,1.0,65058.62,2020-03-07,CA10,2960616655.0,1,17,8,2020-03-25,Bucket2
44608,U001,0200769623,WAL-MAR ,2020.0,1930567790.0,2020-02-27,2020-02-25,2020-02-27,2020-03-13,USD,RV,1.0,835.38,2020-02-27,NAH4,1930567790.0,1,13,2,2020-03-15,Bucket2
38251,U001,0200795490,HY -  ,2020.0,1930566589.0,2020-02-27,2020-02-25,2020-02-27,2020-03-13,USD,RV,1.0,61670.95,2020-02-27,NAA8,1930566589.0,1,13,2,2020-03-15,Bucket2
8504,U001,0200769623,WAL-MAR associates,2020.0,1930567699.0,2020-02-27,2020-02-25,2020-02-27,2020-03-13,USD,RV,1.0,14012.88,2020-02-27,NAH4,1930567699.0,1,13,1,2020-03-14,Bucket2
5522,U001,0200793513,KROGER co,2020.0,1930581262.0,2020-02-27,2020-02-28,2020-02-27,2020-03-13,USD,RV,1.0,59054.7,2020-02-27,NAA8,1930581262.0,1,13,2,2020-03-15,Bucket2
44272,U001,0200712102,SUGAR  llc,2020.0,1930572469.0,2020-02-27,2020-02-27,2020-02-27,2020-04-27,USD,RV,1.0,21000.72,2020-02-27,NAVQ,1930572469.0,1,27,-8,2020-04-19,Bucket1
29320,U001,0200793088,DEMOU corp,2020.0,1930571615.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,139777.38,2020-02-27,NAA8,1930571615.0,1,13,2,2020-03-15,Bucket2
21990,U001,0200780383,MEIJ ,2020.0,1930571597.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,105067.31,2020-02-27,NAA8,1930571597.0,1,13,2,2020-03-15,Bucket2
30800,U001,0200707822,PUBLI co,2020.0,1930578891.0,2020-02-27,2020-02-27,2020-02-27,2020-03-13,USD,RV,1.0,63885.28,2020-02-27,NAA8,1930578891.0,1,13,2,2020-03-15,Bucket2
11259,U001,0100008001,ANHA us,2020.0,1930565999.0,2020-02-27,2020-02-25,2020-02-27,2020-03-13,USD,RV,1.0,22288.14,2020-02-27,NAA8,1930565999.0,1,13,2,2020-03-15,Bucket2
22921,U001,CCCA02,KRAFT  us,2020.0,1930570711.0,2020-02-27,2020-02-25,2020-02-27,2020-04-02,USD,RV,1.0,25137.84,2020-02-27,NAG2,1930570711.0,1,2,9,2020-04-11,Bucket2
39600,U013,0140103480,PRIC systems,2020.0,1991839741.0,2020-02-27,2020-02-25,2020-02-27,2020-04-12,USD,RV,1.0,21395.58,2020-02-27,NAVF,1991839741.0,1,12,8,2020-04-20,Bucket2
14256,U001,0200782669,SYGMA llc,2020.0,1930561984.0,2020-02-27,2020-02-24,2020-02-27,2020-03-13,USD,RV,1.0,1378.66,2020-02-27,NAA8,1930561984.0,1,13,1,2020-03-14,Bucket2
25015,U001,0200794332,COST ,2020.0,1930566814.0,2020-02-27,2020-02-25,2020-02-27,2020-03-13,USD,RV,1.0,32567.64,2020-02-27,NAAX,1930566814.0,1,13,2,2020-03-15,Bucket2
20275,U001,0200769623,WAL-MAR co,2020.0,1930567046.0,2020-02-27,2020-02-25,2020-02-27,2020-03-13,USD,RV,1.0,14725.12,2020-02-27,NAH4,1930567046.0,1,13,2,2020-03-15,Bucket2
13453,U001,0200418007,AM associates,2020.0,1930562538.0,2020-02-27,2020-02-24,2020-02-27,2020-03-13,USD,RV,1.0,41361.15,2020-02-27,NAA8,1930562538.0,1,13,1,2020-03-14,Bucket2
6592,U001,0200769623,WAL-MAR corp,2020.0,1930568689.0,2020-02-27,2020-02-25,2020-02-27,2020-03-13,USD,RV,1.0,14424.75,2020-02-27,NAH4,1930568689.0,1,13,1,2020-03-14,Bucket2
7358,U001,0200714710,SYSCO  co,2020.0,1930570515.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,43262.39,2020-02-27,NAA8,1930570515.0,1,13,1,2020-03-14,Bucket2
41318,U001,0200769623,WAL-MAR associates,2020.0,1930573767.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,18487.41,2020-02-27,NAH4,1930573767.0,1,13,2,2020-03-15,Bucket2
21018,U001,0200762301,C&S WH corporation,2020.0,1930568133.0,2020-02-27,2020-02-25,2020-02-27,2020-03-13,USD,RV,1.0,23662.77,2020-02-27,NAC6,1930568133.0,1,13,2,2020-03-15,Bucket2
49816,U001,0200797452,US  llc,2020.0,1930578893.0,2020-02-27,2020-02-27,2020-02-27,2020-03-13,USD,RV,1.0,228.3,2020-02-27,NAA8,1930578893.0,1,13,1,2020-03-14,Bucket2
25304,U001,0200797452,US  co,2020.0,1930577712.0,2020-02-27,2020-02-27,2020-02-27,2020-03-18,USD,RV,1.0,39727.16,2020-02-27,NAD1,1930577712.0,1,18,0,2020-03-18,Bucket2
14626,CA02,0140104423,METRO  systems,2020.0,2960617049.0,2020-02-27,2020-02-27,2020-02-27,2020-03-08,CAD,RV,1.0,74097.29,2020-02-27,CA10,2960617049.0,1,8,1,2020-03-09,Bucket2
12742,U001,0200788848,DAIRY llc,2020.0,1930577213.0,2020-02-27,2020-02-27,2020-02-27,2020-03-18,USD,RV,1.0,34670.37,2020-02-27,NAD1,1930577213.0,1,18,0,2020-03-18,Bucket2
32108,U001,0200434439,BAUGH SU corp,2020.0,1930577547.0,2020-02-27,2020-02-27,2020-02-27,2020-03-13,USD,RV,1.0,90485.16,2020-02-27,NAA8,1930577547.0,1,13,2,2020-03-15,Bucket2
29778,U001,0200737918,W LEE  in,2020.0,1930566677.0,2020-02-27,2020-02-25,2020-02-27,2020-03-13,USD,RV,1.0,52484.76,2020-02-27,NAA8,1930566677.0,1,13,1,2020-03-14,Bucket2
49203,U001,0200769623,WAL-MAR llc,2020.0,1930577551.0,2020-02-27,2020-02-27,2020-02-27,2020-03-13,USD,RV,1.0,1329.23,2020-02-27,NAH4,1930577551.0,1,13,1,2020-03-14,Bucket2
44767,U001,0200769623,WAL-MAR llc,2020.0,1930575199.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,5653.93,2020-02-27,NAH4,1930575199.0,1,13,1,2020-03-14,Bucket2
9965,U001,0200759878,SA trust,2020.0,1930570188.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,25030.5,2020-02-27,NAH4,1930570188.0,1,13,2,2020-03-15,Bucket2
1260,U001,0200762950,HAR trust,2020.0,1930565863.0,2020-02-27,2020-02-25,2020-02-27,2020-03-13,USD,RV,1.0,124901.41,2020-02-27,NAA8,1930565863.0,1,13,2,2020-03-15,Bucket2
47928,U001,0200785971,SYSCO  corp,2020.0,1930571659.0,2020-02-27,2020-02-27,2020-02-27,2020-03-13,USD,RV,1.0,26470.02,2020-02-27,NAA8,1930571659.0,1,13,2,2020-03-15,Bucket2
3983,U001,0200769369,DI foundation,2020.0,1930573655.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,925.55,2020-02-27,NAA8,1930573655.0,1,13,1,2020-03-14,Bucket2
45198,U001,0200799367,MCL corp,2020.0,1930548387.0,2020-02-27,2020-02-20,2020-02-27,2020-03-13,USD,RV,1.0,6993.02,2020-02-27,NAA8,1930548387.0,1,13,1,2020-03-14,Bucket2
39911,U001,0200769623,WAL-MAR corporation,2020.0,1930573768.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,29400.46,2020-02-27,NAH4,1930573768.0,1,13,2,2020-03-15,Bucket2
1839,U001,0200744019,TARG systems,2020.0,1930577719.0,2020-02-27,2020-02-27,2020-02-27,2020-03-13,USD,RV,1.0,131594.52,2020-02-27,NAA8,1930577719.0,1,13,2,2020-03-15,Bucket2
39732,U001,0200772670,ASSOCIAT ,2020.0,1930579087.0,2020-02-27,2020-02-27,2020-02-27,2020-03-13,USD,RV,1.0,997.92,2020-02-27,NAU5,1930579087.0,1,13,2,2020-03-15,Bucket2
15676,U001,0200772595,SAFEW co,2020.0,1930570389.0,2020-02-27,2020-02-26,2020-02-27,2020-05-02,USD,RV,1.0,7540.88,2020-02-27,NAGD,1930570389.0,1,2,15,2020-05-17,Bucket3
24511,U001,0200434439,BAUGH SU corp,2020.0,1930576089.0,2020-02-27,2020-02-27,2020-02-27,2020-03-18,USD,RV,1.0,7862.4,2020-02-27,NAD1,1930576089.0,1,18,0,2020-03-18,Bucket2
1012,U001,0200762301,C&S WH trust,2020.0,1930568172.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,23947.23,2020-02-27,NAC6,1930568172.0,1,13,2,2020-03-15,Bucket2
27019,U001,0200769623,WAL-MAR in,2020.0,1930570731.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,52168.55,2020-02-27,NAH4,1930570731.0,1,13,1,2020-03-14,Bucket2
17594,U001,0200743123,KROGER co,2020.0,1930570910.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,14002.04,2020-02-27,NAA8,1930570910.0,1,13,1,2020-03-14,Bucket2
38924,U001,0200965912,C&S W ,2020.0,1930581166.0,2020-02-27,2020-02-28,2020-02-27,2020-05-02,USD,RV,1.0,5307.37,2020-02-27,NAGD,1930581166.0,1,2,14,2020-05-16,Bucket3
6407,CA02,0140106408,WAL-M in,2020.0,2960617146.0,2020-02-27,2020-02-27,2020-02-27,2020-03-09,CAD,RV,1.0,6926.4,2020-02-28,CA10,2960617146.0,1,9,15,2020-03-24,Bucket3
9046,U001,0200769623,WAL-MAR llc,2020.0,1930576974.0,2020-02-27,2020-02-27,2020-02-27,2020-03-13,USD,RV,1.0,15959.8,2020-02-27,NAH4,1930576974.0,1,13,2,2020-03-15,Bucket2
42713,U001,0200769623,WAL-MAR llc,2020.0,1930570732.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,542.11,2020-02-27,NAH4,1930570732.0,1,13,1,2020-03-14,Bucket2
26180,U001,0200769623,WAL-MAR foundation,2020.0,1930570967.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,15277.01,2020-02-27,NAH4,1930570967.0,1,13,1,2020-03-14,Bucket2
43215,U001,0200673194,PERFOR corporation,2020.0,1930554878.0,2020-02-27,2020-02-21,2020-02-27,2020-03-13,USD,RV,1.0,20035.9,2020-02-27,NAA8,1930554878.0,1,13,2,2020-03-15,Bucket2
38744,U013,0140103699,L&E IN associates,2020.0,1991839730.0,2020-02-27,2020-02-23,2020-02-27,2020-03-28,USD,RV,1.0,52361.01,2020-02-27,NAVE,1991839730.0,1,28,-16,2020-03-12,Bucket1
43347,CA02,0140105686,SYSC us,2020.0,2960616935.0,2020-02-27,2020-02-27,2020-02-27,2020-03-16,CAD,RV,1.0,268.94,2020-03-06,CA10,2960616935.0,1,16,14,2020-03-30,Bucket3
18479,U001,0200077943,HERR systems,2020.0,1930570046.0,2020-02-27,2020-02-25,2020-02-27,2020-03-13,USD,RV,1.0,71248.8,2020-02-27,NAA8,1930570046.0,1,13,2,2020-03-15,Bucket2
8412,U001,0200726979,BJ'S  in,2020.0,1930571538.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,495.1,2020-02-27,NAA8,1930571538.0,1,13,1,2020-03-14,Bucket2
44965,U001,0100031704,DELHAIZE corp,2020.0,1930570074.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,41796.25,2020-02-27,NAA8,1930570074.0,1,13,1,2020-03-14,Bucket2
45852,U001,0200063296,SUIS ,2020.0,1930577281.0,2020-02-27,2020-02-27,2020-02-27,2020-03-28,USD,RV,1.0,15224.88,2020-02-27,NAD5,1930577281.0,1,28,-10,2020-03-18,Bucket1
3528,U001,0200744019,TARG in,2020.0,1930567816.0,2020-02-27,2020-02-25,2020-02-27,2020-03-13,USD,RV,1.0,17691.32,2020-02-27,NAA8,1930567816.0,1,13,4,2020-03-17,Bucket2
25896,U001,0200148860,DOLLA ,2020.0,1930571504.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,80900.17,2020-02-27,NAA8,1930571504.0,1,13,3,2020-03-16,Bucket2
21368,U001,0200769623,WAL-MAR ,2020.0,1930570578.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,339.57,2020-02-27,NAH4,1930570578.0,1,13,1,2020-03-14,Bucket2
28023,U001,0200331749,SYSC trust,2020.0,1930561916.0,2020-02-27,2020-02-24,2020-02-27,2020-03-18,USD,RV,1.0,23620.95,2020-02-27,NAD1,1930561916.0,1,18,0,2020-03-18,Bucket2
